Id,Label,Description
"CW","Concierge, Verrerie","Concierge, rue de la Verrerie"
"CX","Concierge, Gillenormand","Concierge at Gillenormand"
"CY","Concierge, l'Homme Armé","Concierge at rue de l'Homme Armé"
"CZ","Concierge's husband","Husband of Concierge at rue de l'Homme Armé"
"DA","Dahlia","Dahlia, mistress of Listolier"
"DG","Doctor, Gillenormand","Doctor at Gillenormand"
"DH","Duc d'Havré","Duc d'Havré, accompanies Louis-Philippe"
"DJ","Doctor, Valjean","Doctor to Valjean"
"DM","Dowager M-s-M","Dowager in M-sur-M"
"DN","Dandy","Dandy near the barricade"
"DO","Foreman, Grasse","Distillery foreman in Grasse"
"DR","Drunk coachman","Drunk Auvergnat coachman"
"DS","Doctor M-s-M","Doctor in M-sur-M hospital"
"DU","Deuxmilliards","Deux-millards, aka Demi-liard, a criminal"
"DV","Doctor, Vernon","Doctor in Vernon"
"EN","Enjolras","Enjolras, chief of Friends of the ABC"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"FA","Fameuil","Fameuil, Parisian student, lover of  Zéphine"
"FB","Barber","Barber to whom Fantine sells her hair"
"FD","Furniture seller","Secondhand dealer who sold furniture to Fantine"
"FE","Feuilly","Feuilly, member, Friends of the ABC"
"FF","Fauchelevent","Fauchelevent, failed notary turned carter in M-sur-M"
"FL","Landlord","Fantine's landlord"
"FM","Fisherman, Digne","Fisherman in Digne"
"FN","Fantine","Fantine, mistress of Tholomyès"
"FT","Tholomyès,","Tholomyès, Parisian student, lover of Fantine"
"FV","Favourite","Favourite, mistress of Blachevelle"
"GA","Gavroche","Gavroche, son of the Thénardiers"
"GB","Gibolette","Gibolette, servant in Corinth Inn"
"GD","Gendarme, Digne","Gendarme in Digne"
"GE","Géborand","Géborand, retired merchant of Digne"
"GF","Guard, La Force","Guard, La Force prison"
"GG","Conventionist","G--, a Convenionist"
"GI","M. Gillenormand","M. Gillenormand, Marius's grandfather"
"GL","Poor girl","Poor girl, helped by Gavroche"
"GN","Gardener","Gardener, encountered by Mabeuf"
"GP","Colonel Pontmercy","Colonel George Pontmercy, Marius's father"
"GR","Gribier","Gribier, new gravedigger at Vaugirard cemetery"
"GS","Secondhand dealer","Secondhand dealer from whom Gavroche 'borrows' a pistol"
"GT","Grantaire","Grantaire, Friends of the ABC skeptic"
"GU","Gueulemer","Gueulemer, member of Patron-Minette"
"GV","Government troops","Government troops"
"HD","Hospital director","Hospital director in Digne"
"HL","Mme Hucheloup","Mme Hucheloup, keeper of Corinth Inn"
"ID","Itinerant dentist","Itinerant dentist"
"IK","Innkeeper's wife","Innkeeper's wife at Saint Pol"
"IS","Isabeau","Isabeau, baker in Faverolles"
"IW","Insurgent workers","Insurgent workers"
"JA","Javert","Javert, police officer"
"JD","Jailer, Digne","Jailer in the prison of Digne"
"JL","Labarre","Labarre, innkeeper in Digne"
"JM","Valjean's sister","Jeanne, sister of Valjean"
"JN","Sister's son","Youngest son of Valjean's sister"
"JO","Joly","Joly, member Friends of the ABC"
"JP","Prouvaire","Prouvaire, member Friends of the ABC"
"JU","Judge","Judge at the Arras court"
"JV","Jean Valjean","Jean Valjean"
"KA","Toll keeper","Toll keeper at Austerlitz bridge"
"KB","Kitchen boy","Kitchen boy at Labarre's inn"
"KD","Door keeper","Door keeper at a Paris bindery"
"KT","Tavern keeper","Tavern keeper in Digne"
"LA","Count Lamothe","Count Lamothe, member of Baroness de T-'s salon"
"LI","Listolier","Listolier, Parisian student, lover of Dahlia"
"LL","Landlady, Gorbeau","Landlady at Gorbeau House (during JVJ's stay)"
"LP","Louis-Philippe","Louis-Philippe d'Orléans, King of France"
"LR","Arras hotel keeper","Landlady at an Arras hotel"
"MA","Marius","Marius"
"MB","Mlle Baptistine","Mlle Baptistine, sister of Myriel"
"MC","Champtercier","Marquis de Champtercier, ultra-royalist in Digne"
"MD","Marie-Claude","Marie-Claude, neighbor of the Valjeans in Faverolles"
"ME","Mme Magloire","Mme Magloire, housekeeper to Myriel"
"MG","Mlle Gillenormand","Mlle Gillenormand, unmarried daughter of Gillenormand"
"MH","Chastelar mayor","Mayor of Chastelar"
"MI","Mother Innocent","Mother Innocent, prioress of Convent of Petit Picpus"
"ML","Matelotte","Matelotte, a servant at the Corinth Inn"
"MM","M. Mabeuf","M. Mabeuf, warden of St. Sulpice, bibliophile"
"MN","Magnon","Magnon, servant of Gillenormand"
"MO","Montparnasse","Montparnasse, member of Patron-Minette"
"MP","Mme Pontmercy","Mme Pontmercy, younger daughter of Gillenormand"
"MR","Marquise de R","Marquise de R-, inhabitant of Digne"
"MS","Mayor of Senez","Mayor of Senez"
"MT","Marguerite","Marguerite, friend of Fantine in M-sur-M"
"MU","Minister of agriculture","Minister of agriculture"
"MV","Mlle Vaubois","Mlle Vaubois, friend of Mlle Gillenormand"
"MW","Minister's wife","Minister of agriculture's wife"
"MY","Bishop Myriel","M. Myriel, Bishop of Digne"
"NA","Navet","Navet, friend of Gavroche"
"NI","Nicolette","Nicolette, maid to Gillenormand"
"NP","Napoleon","Napoleon, Emperor of France"
"NT","Thénardiers' neighbor","Neighbor of Thénardiers"
"OS","Old soldier","Old soldier at barbershop"
"PA","Prosecuting attorney","Prosecuting attorney in Champmathieu trial"
"PC","Porter,barricade","Porter shot at the barricade by Le Cabuc"
"PD","Digne peasant","Peasant in Digne, whom Valjean asks for food"
"PE","Peasant's wife","Peasant's wife"
"PG","Petit Gervais","Petit Gervais, a chimney sweep"
"PH","Priest, Digne","A priest on the road from Digne"
"PL","Mother Plutarch","Mother Plutarch, housekeeper of M. Mabeuf"
"PN","Panchaud","Panchaud, a criminal aka as Printanier, Bigrenaille"
"PO","Portress, M-s-M","Portress of JV in M-sur-M"
"PR","Prison guard","Prison guard"
"PS","Porter, r. de l'Ouest","Porter, rue de l'Ouest"
"PT","Postillion","Postillion, accompanying Valjean to Arras"
"PZ","Peddler","Peddler in Thénardier's inn"
"QU","Claquesous","Claquesous, member of Patron-Minette,aka Le Cabuc"
"RA","Arras resident","Resident of Arras"
"RM","Road mender","Road mender"
"RP","Ragpicker","Ragpicker"
"SB","Shepherd boy","Shepherd boy, serves G-- the conventionist"
"SC","M. Scaufflaire","M. Scaufflaire, keeper of horses and coaches in M-sur-M"
"SD","SD","M. Scaufflaire's wife"
"SE","Saint Pol Servant girl","Servant girl in Saint Pol"
"SF","Factory supervisor","Supervisor in M. Madeleine's factory"
"SG","Police sergeant M-s-M","Police sergeant in M-sur-M"
"SI","Sergeant, Imprimérie","Sergeant at the Imprimérie Royale post"
"SM","Hospital servant","Servant at the hospital in M-sur-M"
"SO","Soldiers","Soldiers pursuing Valjean, led by Javert"
"SP","Sister Perpétue","Sister Perpétue, nun at infirmary in M-sur-M"
"SR","Marius's servant","Servant to Marius at Garbeau tenement"
"SS","Sister Simplice","Sister Simplice, nun at infirmary in M-sur-M"
"SW","Sewermen","Sewermen"
"TG","Théodule","Lieutenant Théodule Gillenormand, grandnephew of Gillenormand"
"TC","Three concierges","Three concierges, met by Gvaroche"
"TE","German teamster","German teamster"
"TH","Thénardier","Thénardier, innkeeper in Montfermeil, aka Jondrette"
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
"TR","Three gendarmes","Three gendarmes, arrested Valjean"
"TS","Toussaint","Toussaint, servant of Valjean at Rue Plumet"
"VB","Mme Boischevron","Mme Boischevron, friend and correspondent of Mlle Baptistine"
"VI","Mme Victurnien","Mme Victurnien, snoop in M-sur-M"
"WA","Anonymous worker","Anonymous worker at barricade"
"WB","Waiter","Waiter at Bombarda"
"WH","Old woman","Old woman in Hesdin"
"WI","Old woman's son","Old woman's son"
"WP","Pontmercy's servant","Woman servant to Colonel Pontmercy"
"XA","Older child","Older Child, son of Thénardier, raised by Magnon"
"XB","Younger child","Younger Child, son of Thénardier, raised by Magnon"
"ZE","Zephine","Zephine, mistress of Fameuil"
