CK Counsel for the defense in Champmathieu's trial					Defense counsel
CL Countess de Lô, distant relative of Myriel						Countess de Lô
CM Combeferre, member, Friends of the ABC 							Combeferre
CN Chenildieu, convict in the galleys with Valjean					Chenildieu
CO Cosette, daughter of Fantine 									Cosette
CP Man playing cards with Grantaire									Card player
CR Courfeyrac, member, Friends of the ABC							Courfeyrac 
CV Cravatte, mountain bandit										Cravatte
CW Concierge, rue de la Verrerie									Concierge, Verrerie
CX Concierge at Gillenormand										Concierge, Gillenormand
CY Concierge at rue de l'Homme Armé									Concierge, l'Homme Armé
CZ Husband of Concierge at rue de l'Homme Armé						Concierge's husband
DA Dahlia, mistress of Listolier									Dahlia 
DG Doctor at Gillenormand											Doctor, Gillenormand
DH Duc d'Havré, accompanies Louis-Philippe							Duc d'Havré
DJ Doctor to Valjean												Doctor, Valjean
DM Dowager in M-sur-M												Dowager M-s-M
DN Dandy near the barricade											Dandy		
DO Distillery foreman in Grasse										Foreman, Grasse
DR Drunk Auvergnat coachman											Drunk coachman
DS Doctor in M-sur-M hospital										Doctor M-s-M
DU Deux-millards, aka Demi-liard, a criminal						Deuxmilliards
DV Doctor in Vernon													Doctor, Vernon
EN Enjolras, chief of Friends of the ABC							Enjolras
EP Eponine, daughter of the Thénardiers								Eponine
FA Fameuil, Parisian student, lover of  Zéphine						Fameuil
FB Barber to whom Fantine sells her hair							Barber
FD Secondhand dealer who sold furniture to Fantine					Furniture seller
FE Feuilly, member, Friends of the ABC 								Feuilly
FF Fauchelevent, failed notary turned carter in M-sur-M				Fauchelevent
FL Fantine's landlord												Landlord
FM Fisherman in Digne												Fisherman, Digne
FN Fantine, mistress of Tholomyès									Fantine
FT Tholomyès, Parisian student, lover of Fantine					Tholomyès
FV Favourite, mistress of Blachevelle								Favourite
GA Gavroche, son of the Thénardiers									Gavroche
GB Gibolette, servant in Corinth Inn								Gibolette
GD Gendarme in Digne												Gendarme, Digne
GE Géborand, retired merchant of Digne								Géborand
GF Guard, La Force prison											Guard, La Force
GG G--, a Convenionist												Conventionist
GI M. Gillenormand, Marius's grandfather							M. Gillenormand
GL Poor girl, helped by Gavroche									Poor girl
GN Gardener, encountered by Mabeuf									Gardener
GP Colonel George Pontmercy, Marius's father 						Colonel Pontmercy
GR Gribier, new gravedigger at Vaugirard cemetery					Gribier
GS Secondhand dealer from whom Gavroche 'borrows' a pistol 			Secondhand dealer
GT Grantaire, Friends of the ABC skeptic							Grantaire
GU Gueulemer, member of Patron-Minette								Gueulemer
GV Government troops												Government troops
HD Hospital director in Digne										Hospital director
HL Mme Hucheloup, keeper of Corinth Inn								Mme Hucheloup
ID Itinerant dentist												Itinerant dentist
IK Innkeeper's wife at Saint Pol									Innkeeper's wife
IS Isabeau, baker in Faverolles										Isabeau
IW Insurgent workers												Insurgent workers
JA Javert, police officer 											Javert
JD Jailer in the prison of Digne									Jailer, Digne	
JL Labarre, innkeeper in Digne										Labarre
JM Jeanne, sister of Valjean										Valjean's sister
JN Youngest son of Valjean's sister									Sister's son
JO Joly, member Friends of the ABC 									Joly
JP Prouvaire, member Friends of the ABC 							Prouvaire
JU Judge at the Arras court 										Judge
JV Jean Valjean														Jean Valjean
KA Toll keeper at Austerlitz bridge									Toll keeper
KB Kitchen boy at Labarre's inn										Kitchen boy
KD Door keeper at a Paris bindery									Door keeper
KT Tavern keeper in Digne											Tavern keeper
LA Count Lamothe, member of Baroness de T-'s salon  				Count Lamothe
LI Listolier, Parisian student, lover of Dahlia						Listolier
LL Landlady at Gorbeau House (during JVJ's stay)					Landlady, Gorbeau
LP Louis-Philippe d'Orléans, King of France							Louis-Philippe
LR Landlady at an Arras hotel										Arras hotel keeper
MA Marius															Marius
MB Mlle Baptistine, sister of Myriel								Mlle Baptistine
MC Marquis de Champtercier, ultra-royalist in Digne					Champtercier
MD Marie-Claude, neighbor of the Valjeans in Faverolles				Marie-Claude
ME Mme Magloire, housekeeper to Myriel								Mme Magloire
MG Mlle Gillenormand, unmarried daughter of Gillenormand			Mlle Gillenormand
MH Mayor of Chastelar												Chastelar mayor
MI Mother Innocent, prioress of Convent of Petit Picpus				Mother Innocent
ML Matelotte, a servant at the Corinth Inn							Matelotte
MM M. Mabeuf, warden of St. Sulpice, bibliophile					M. Mabeuf
MN Magnon, servant of Gillenormand									Magnon
MO Montparnasse, member of Patron-Minette							Montparnasse
MP Mme Pontmercy, younger daughter of Gillenormand					Mme Pontmercy
MR Marquise de R-, inhabitant of Digne								Marquise de R
MS Mayor of Senez													Mayor of Senez
MT Marguerite, friend of Fantine in M-sur-M							Marguerite
MU Minister of agriculture											Minister of agriculture
MV Mlle Vaubois, friend of Mlle Gillenormand						Mlle Vaubois
MW Minister of agriculture's wife									Minister's wife
MY M. Myriel, Bishop of Digne										Bishop Myriel
NA Navet, friend of Gavroche										Navet
NI Nicolette, maid to Gillenormand									Nicolette
NP Napoleon, Emperor of France										Napoleon
NT Neighbor of Thénardiers											Thénardiers' neighbor
OS Old soldier at barbershop										Old soldier
PA Prosecuting attorney in Champmathieu trial						Prosecuting attorney
PC Porter shot at the barricade by Le Cabuc							Porter, barricade
PD Peasant in Digne, whom Valjean asks for food						Digne peasant
PE Peasant's wife													Peasant's wife
PG Petit Gervais, a chimney sweep									Petit Gervais
PH A priest on the road from Digne									Priest, Digne
PL Mother Plutarch, housekeeper of M. Mabeuf						Mother Plutarch
PN Panchaud, a criminal aka as Printanier, Bigrenaille				Panchaud	
PO Portress of JV in M-sur-M										Portress, M-s-M
PR Prison guard														Prison guard
PS Porter, rue de l'Ouest											Porter, r. de l'Ouest
PT Postillion, accompanying Valjean to Arras						Postillion
PZ Peddler in Thénardier's inn										Peddler
QU Claquesous, member of Patron-Minette,aka Le Cabuc				Claquesous
RA Resident of Arras												Arras resident
RM Road mender														Road mender	
RP Ragpicker														Ragpicker
SB Shepherd boy, serves G-- the conventionist						Shepherd boy
SC M. Scaufflaire, keeper of horses and coaches in M-sur-M			M. Scaufflaire
SD M. Scaufflaire's wife											Scaufflaire's wife
SE Servant girl in Saint Pol										Saint Pol Servant girl
SF Supervisor in M. Madeleine's factory								Factory supervisor
SG Police sergeant in M-sur-M										Police sergeant M-s-M
SI Sergeant at the Imprimérie Royale post							Sergeant, Imprimérie
SM Servant at the hospital in M-sur-M								Hospital servant
SN Senator, Count ***, in Digne										Senator
SO Soldiers pursuing Valjean, led by Javert							Soldiers
SP Sister Perpétue, nun at infirmary in M-sur-M						Sister Perpétue
SR Servant to Marius at Garbeau tenement							Marius's servant
SS Sister Simplice, nun at infirmary in M-sur-M						Sister Simplice
SW Sewermen															Sewermen
TG Lieutenant Théodule Gillenormand, grandnephew of Gillenormand	Théodule
TC Three concierges, met by Gvaroche								Three concierges
TE German teamster													German teamster
TH Thénardier, innkeeper in Montfermeil, aka Jondrette				Thénardier
TM Madame Thénardier, wife of Thénardier							Mme Thénardier
TR Three gendarmes, arrested Valjean								Three gendarmes
TS Toussaint, servant of Valjean at Rue Plumet						Toussaint
VB Mme Boischevron, friend and correspondent of Mlle Baptistine		Mme Boischevron
VI Mme Victurnien, snoop in M-sur-M									Mme Victurnien
WA Anonymous worker at barricade									Anonymous worker
WB Waiter at Bombarda												Waiter
WH Old woman in Hesdin												Old woman
WI Old woman's son													Old woman's son
WP Woman servant to Colonel Pontmercy								Pontmercy's servant
XA Older Child, son of Thénardier, raised by Magnon					Older child
XB Younger Child, son of Thénardier, raised by Magnon				Younger child
ZE Zephine, mistress of Fameuil										Zephine

1.1.1:MY,NP;MY,MB,ME
1.1.2:MY,HD;MY,MB;MY,ME;ME,MB;MY,MB
1.1.3:MY;MY,MS
1.1.4:MY,ME;MY,CL;MY,GE;MY,MC;MY,MB;MY,CD
1.1.5:MY,MB,ME
1.1.6:ME,MY;MY,CA
1.1.7:MY,MH;MY,CB;CV,MY;MY,MB,ME
1.1.8:SN,MY
1.1.9:MB,VB
1.1.10:GG,SB;MY,GG
1.1.11:MY
1.1.12:MY
1.1.13:MY
1.1.14:MY,SN
1.2.1:JV,GD;JL,JV;JL,KB;JL,JV;JV,KT;JV,FM;FM,JL;FM,KT;KT,JV;JV,JD;JV,PD;PD,PE;JV,MR
1.2.2:MY,ME,MB
1.2.3:JV,ME,MB,MY
1.2.4:MB,VB;MY,JV,MB;MY,JV,MB,ME
1.2.5:MY,MB;MY,JV
1.2.6:JV,JM;JV,MD;JV,IS;PR,JV;JM,JN;JN,KD
1.2.7:JV
1.2.8
1.2.9:JV;JV,DO
1.2.10:JV
1.2.11:JV
1.2.12:MY,ME;JV,TR,MY;MY,JV
1.2.13:JV;JV,PG;JV,PH
1.3.1
1.3.2:FT;LI;FA;BL;FV;DA;ZE;FN
1.3.3:FT,LI,FA,BL,FV,DA,ZE,FN
1.3.4:FT,LI,FA,BL,FV,DA,ZE,FN
1.3.5
1.3.6:FA,DA,FT,ZE,FN,LI,FV,BL
1.3.7:FT,BL,FA,LI,FV,
1.3.8:ZE,BL,FV,FT,FA,LI,DA,FN
1.3.9:FV,DA,ZE,FN;WB,FV,DA,ZE,FN
1.4.1:EP,AZ,TM;TM,FN,CO;FN;FN,TM;CO,AZ,EP;TH,TM,FN;FN,CO;FN,NT
1.4.2:CO;TH;TM
1.4.3:CO,TH,TM;EP,AZ,CO
1.5.1:JV
1.5.2:JV
1.5.3:JV
1.5.4:MY;JV,DM
1.5.5:JA;JV
1.5.6:JV,FF,JA
1.5.7:FF;JV;FN
1.5.8:VI,TH,TM,CO;FN;FN,SF
1.5.9:JV;SF,FN;FN,FD;FN,FL;MT,FN;VI,FN
1.5.10:FN,MT;FN,FB;FN,ID;FN,MT
1.5.11
1.5.12:BM;BM,FN;FN,JA;BM
1.5.13:JA,SG;FN,JA;FN,JA,JV;JA,JV;JV,FN
1.6.1:JV,FN;JA;TH,TM;JV,FN;JV,DS;TH;FN,TH
1.6.2:JV,JA;CH
1.7.1:JV,FN;SP,SS;JV,SS;JV,FN
1.7.2:JV,SC;SC,SD;JV;PO,CI
1.7.3:JV
1.7.4:JV;JV,PO
1.7.5:JV,CE;JV,BH;JV,BW;JV,WH;JV,WI;JV,IK;JV,SE;JV,TE;JV,RM;JV,PT
1.7.6:FN,SS;FN,DS;FN;SS,SM;FN,SM;FN,DS;SS,DS
1.7.7:JV,LR;JV,RA;JV,BC;JV,AA;JV,BI
1.7.8:JU,BI;JV,BI;JV;
1.7.9:JV,CH;JV,BM,JU,CH,CK,PA
1.7.10:JU,CH;PA,CH;PA,JU;JU,BI;JU,BR,CN,CC,CH;JV,BR,CN,CC,JU,PA,BM
1.7.11:JV,BR,CN,CC,JU,CH,PA
1.8.1:FN,SS;JV,SS;JV,FN
1.8.2:JV,FN,DS;FN,JV,JA
1.8.3:CH,JU,PA;PA,JA;JA,FN,JV
1.8.4:FN,JV;JA,FN,JV;JA,JV
1.8.5:JA,JV;PO,JV;JV,SS;PO,JA;JA,SS;JV;FN
2.1.1
2.1.2
2.1.3
2.1.4
2.1.5
2.1.6
2.1.7
2.1.8
2.1.9
2.1.10
2.1.11
2.1.12
2.1.13
2.1.14
2.1.15
2.1.16
2.1.17
2.1.18
2.1.19:TH,GP
2.2.1:JV
2.2.2:BZ;TH,BZ;BZ,JV
2.2.3:JV,BS
2.3.1:CO;CO,EP,AZ,GA
2.3.2:TH,TM;CO
2.3.3:CO,TM;PZ,TM;CO,PZ;TM,CO
2.3.4:EP,AZ;CO;TM,CO
2.3.5:CO;CO,JV
2.3.6:JV;JV,LP,DH;JV,CF;CF;JV,CO
2.3.7:CO,JV
2.3.8:TM,CO;TM,JV;JV,TH,TM;JV,CO;TM,CO;JV,TM,CO;TM,JV;EP,AZ,TM;JV,TM,CO;CO,TM;TH,TM;EP,AZ;TM,JV;EP,TM;TM,CO;TM,JV;TM,TH;TH,JV;TH,TM;JV,CO
2.3.9:TH,TM;TH,TM,JV;TH,JV;CO;CO,TM;CO,JV
2.3.10:TH,TM;TH,JV;JV,CO
2.3.11:JV;JV,CO
2.4.1
2.4.2:CO,JV
2.4.3:CO,JV;LL;JV,CO
2.4.4:JV,CO,LL;JV,LL
2.4.5:JV,JA;JV,CO;JV,JA;JV,LL
2.5.1:CO,JV;JV,JA
2.5.2:JV,CO;JV,KA
2.5.3:JV,CO
2.5.4:JV,CO
2.5.5:JV,SO,JA;JV,CO;JA,SO
2.5.6:JV,CO
2.5.7:JV,CO
2.5.8:CO,JV;JV,FF;JV,CO
2.5.9:JV,FF;CO,JV,FF
2.5.10:JA;TH,TM,JA;JA,JV;JA,LL;JA,JV;JA,SO
2.6.1
2.6.2
2.6.3
2.6.4
2.6.5
2.6.6
2.6.7:MI
2.6.8
2.6.9
2.6.10
2.6.11
2.7.1
2.7.2
2.7.3
2.7.4
2.7.5
2.7.6
2.7.7
2.7.8
2.8.1:JV,CO,FF;MI
2.8.2:FF,MI
2.8.3:FF,MI
2.8.4:JV,CO;FF,JV
2.8.5:FF,GR
2.8.6:JV
2.8.7:FF,GR;FF,JV;FF,GR
2.8.8:FF,MI,JV;MI,CO;MI,FF;JV;FF
2.8.9:CO,FF,JV
3.1.1
3.1.2
3.1.3
3.1.4
3.1.5
3.1.6
3.1.7
3.1.8
3.1.9
3.1.10
3.1.11
3.1.12
3.1.13:GA;BU;TH,TM,EP,AZ;MA
3.2.1:GI
3.2.2:GI
3.2.3:GI
3.2.4:GI
3.2.5:GI
3.2.6:GI,MN
3.2.7:GI
3.2.8:MG;MP;MG,MV;MG,TG;MG,GI,MA
3.3.1:GI,BT;BT,LA;MG,GI,MA
3.3.2:GP,WP;GP,AM;GP,NP;GP,MP;GI,MA;GP,MA;GP,AM;GP,MM;GP,MA,MM
3.3.3:BT,MA
3.3.4:GI,MA;MA,WP;GP,AM,DV,WP
3.3.5:MA,MM;GI,MA,MG
3.3.6:MA
3.3.7:TG;MA,GI,MG;MG,TG;TG,MA
3.3.8:TG;MA,GI;GI,MG;GI,MA;GI,MG
3.4.1:EN;CM;JP;FE;CR;BA;BO;JO;GT
3.4.2:MA,BO;MA,BO,CR
3.4.3:MA,CR;MA,BA,CM;MA,EN,CR
3.4.4:EN,MA;GT,BO;JO,BA,GT;JP;CO,CR
3.4.5:BO,CO,MA,CR,EN,BA;MA,EN,CO;MA,EN
3.4.6:CR,MA
3.5.1:MA
3.5.2:MA
3.5.3:MA;MG;GI
3.5.4:MM,PL
3.5.5:MA,CR;MA,MM;MA;MA,SR
3.5.6:GI,MG;GI,MG,TG;GI,TG
3.6.1:MA,CO;MA,JV,CO
3.6.2:MA,JV,CO
3.6.3:MA,CO
3.6.4:MA,CR;MA,JV,CO
3.6.5:BU,CR;BU,MA;MA,CO,JV
3.6.6:MA,CO,JV;MA,CO;MA,CR,JP
3.6.7:MA,JV,CO
3.6.8:MA,CO,JV
3.6.9:MA,CO,JV;MA,PS;MA,JV,CO;MA,PS
3.7.1
3.7.2
3.7.3:QU,GU;BB;MO
3.7.4:QU,GU;BB;MO;PN;BZ;DU
3.8.1:MA
3.8.2:MA
3.8.3:MA,EP
3.8.4:EP,MA
3.8.5:MA
3.8.6:MA;TH,TM;AZ
3.8.7:MA;EP,TH,TM;TH,EP;TH,AZ;TH,TM;AZ,TH
3.8.8:MA;EP,TH,TM;TH,JV,CO
3.8.9:MA;TH,JV,TM,AZ;CO,AZ,TH,JV;TH,JV;JV,CO;EP,JV
3.8.10:MA;CO,TH,AZ;MA,CG;TH,PN
3.8.11:MA,EP;TH
3.8.12:MA;TH,TM,AZ,EP;TH,TM
3.8.13:MA;TM;MA,BJ,DU
3.8.14:MA,JA
3.8.15:CR,BO,MA;MA,TH
3.8.16:MA;TH,TM,EP,AZ;MA,EP;TH,EP,AZ
3.8.17:MA;TH,TM
3.8.18:MA;TH,TM,JV
3.8.19:MA;JV,TH,TM;PN,BJ,DU,BZ;JV,TH
3.8.20:MA;BB,GU,QU;TH,BB;JV;PN,BJ,DU;TH,JV;GU,TH;JV,PN,TH;JV,PN,BJ,DU,GU,BB,QU;TH,TM;TH,BZ,PN;TH,BB;TH,JV,PN;TH,JV;TH,TM;TH,JV;TH,TM;TH,JV;PN,TH;JV;JV,QU;TH,TM;MA;TH,TM;PN;JA
3.8.21:JA,AZ;JA,TH,TM,PN,BJ,DU,GU,BB,QU;JA,PN,TH;TM,JA;JA,PN,BJ,DU,GU,BB,QU;JA
3.8.22:BU,GA
4.1.1
4.1.2
4.1.3
4.1.4
4.1.5
4.1.6:EN,CR,FE,CM,BA,JP,JO,BO;EN,GT;EN;EN,GT;GT,CP
4.2.1:MA,CR;MA,BU;BU,JA;MA,CR;MA
4.2.2:JA;MO;EP;AZ;QU;MA;BJ;BJ,BB,GU;BJ,GF;BJ,BB;BB,BF;BF,MN;MN,EP;EP,MN,BB;BB,BJ
4.2.3:MA,MM;MM,EP
4.2.4:MA,EP
4.3.1:JV,CO,TS
4.3.2:JV,CO,TS
4.3.3
4.3.4:CO,JV
4.3.5:CO; CO,TS,JV;CO,JV
4.3.6:CO,MA
4.3.7:JV,MA; CO,JV;PS,JV;JV,MA;JV,CO
4.3.8:JV,CO
4.4.1:JV,CO
4.4.2:GA;MM,PL;GA,MO,JV;GA,MO;GA,MM;MM,PL
4.5.1:CO,TG;MA;CO
4.5.2:JV;CO;CO,JV;
4.5.3:CO,TS;CO
4.5.4:MA
4.5.5:CO
4.5.6:CO,MA
4.6.1:MN,TM;MN,XA,XB,GI;TH,TM;MN,XA,XB;MN,EP;XA,XB
4.6.2:GA,BG;XA,XB,BG;GA,XA,XB;GA,XA,XB;GA,GL;GA,BK;GA,MO;GA,XA,XB;MO,GA
4.6.3:BB,BJ,GU,TH;BJ,GU;TH;BJ,GU,BB,MO;BJ,TH;TH;BJ,BB,MO,GU,TH;TH,BB,BJ,GU,MO,GA;BB,TH
4.7.1
4.7.2
4.7.3
4.7.4
4.8.1:MA,CO
4.8.2:MA,CO
4.8.3:JV,CO,TS;MA;CR,BA;CR,MA;MA,CO;MA,EP
4.8.4:MA,EP;EP,BB,BJ,GU,TH,QU,MO
4.8.5
4.8.6:MA,CO
4.8.7:GI,MG;BQ,GI;GI,MA;GI,MG
4.9.1:JV;JV,EP
4.9.2:MA;MA,CR;MA,EP
4.9.3:MM,PL;MM,MU;MU,MW;MM,GN
4.10.1
4.10.2
4.10.3
4.10.4
4.10.5
4.11.1:GA,GS;GA
4.11.2:GA;RP,TC;GA,RP,TC;GA,RP
4.11.3:BG,OS;BG,GA
4.11.4:EN,CR,CO,FE,JP,BA;GA,CR;FE,BA;BA,EN;GA,BA;GA,CR;MM
4.11.5:EN,CM,CR,MM;CR,MM;GA
4.11.6:CR,EN,CM,JA;GA;CR,CW;CR,EP
4.12.1:HL;HL,ML,GB
4.12.2:BO,JO,ML,GB;GT,BO,JO;BO,NA;GT,HL;JO,ML,GB;BO,CR
4.12.3:BO,JO,CR;BA,GA;EN,FE,ML,GB;HL;JO,GT;GT,CR;GT,ML;EN,GT      
4.12.4:BA,CR,HL;EN,CM,CR;HL,ML,GB;JA;EP;GA,CM,EN;GA,DN
4.12.5:CR,EN
4.12.6:EN,CM,CR,JP,FE,BO,JO,BA
4.12.7:EN,GA;GA,JA;GA,EN;EN,JA;GA,JA;EN,JA
4.12.8:QU;QU,PC;EN,QU;EN,CM,JP;CR,EP
4.13.1:MA
4.13.2
4.13.3:MA
4.14.1:EN,CM,GA;EN,CM,CR,BO,JO,BA,GA,FE,MM,GV
4.14.2:MM;EN,CR;EN
4.14.3:EN,JA;GA,CR,EN,JP,CM,JO,BA,BO;GV,BA,GA;CR,MA
4.14.4:MA;MA,EP;EN,CR,JP,CM,GV;MA
4.14.5:MA,CR,BO,GA,EN;MA,JA;CM,EN;JP,EN,CM;EN,JA
4.14.6:MA,EP
4.14.7:EP,CO;EP,CR;MA,GA
4.15.1:JA,CO,TS;JV,TS;JV;JV,TS
4.15.2:JV,GA
4.15.3:JV
4.15.4:GA,DR;GA,SI
5.1.1
5.1.2:EN,FE,CM,BO,CR,JO,IW;CM,BO
5.1.3:EN,WA
5.1.4:EN,IW; EN,CM;CM,IW;MA,IW;MA,EN,CM,CR,IW;MA,JV,EN
5.1.5:EN
5.1.6:MA;EN,JA;EN,JA,JV
5.1.7:EN,CR,GV,BO,CM;GA,BO,GV
5.1.8:GA,MA;MA,GA,JV;GA,CR;GV,EN,CM
5.1.9:EN,CM,JV,GV;EN,JV,BO
5.1.10:CO
5.1.11:GV,GA,CR;EN,JV,BO
5.1.12:BO,CM;EN
5.1.13:EN,CR
5.1.14:CR,EN,BO,GV;BO,EN;GA
5.1.15:CR,GA;GA,GV
5.1.16:XA,XB,BX,BY;XA,XB
5.1.17:MA,CM,GA,CR;CM,JV;CM,EN,CR;CM,BO,FE,JO
5.1.18:CM,EN,BO,MA,FE;EN,JA;JV,EN,JA;JV,JA;MA,EN,JA
5.1.19:JV,JA;MA;JA,EP;JA,JV;MA,EN;JV,MA
5.1.20
5.1.21:GV;EN,MA,CR,BO,FE,CM,JO;MA,EN
5.1.22:EN,MA,GV
5.1.23:EN,GT,GV
5.1.24:JV,MA
5.2.1
5.2.2
5.2.3
5.2.4
5.2.5
5.2.6
5.3.1:JV,MA;JV,MA,SW
5.3.2:JV,MA;JV,SW
5.3.3:JA,TH;JA,CJ;JA,TH;CJ
5.3.4:JV,MA
5.3.5:JV,MA
5.3.6:JV,MA
5.3.7:JV,MA
5.3.8:JV,TH,MA
5.3.9:JV,MA,JA;JA,CJ
5.3.10:JA,CX;JV,CJ,MA;JV,MA;JA,CX;CX,BQ;BQ,NI;NI,MG;JV,JA;JA,CJ
5.3.11:JV,JA;CJ,JA;JA,JV
5.3.12:BQ,CX,MA,MG,DG;BQ,NI;DG,GI,MA;GI,DG;GI,MA
5.4.1:JA
5.5.1:BZ;BZ,JV
5.5.2:MA;JV,CX;MA;GI;MA,GI
5.5.3:MA,GI
5.5.4:CO,MA,JV,CX;NI,MG,GI;GI,JV;MA,CO;MA,GI;JV,GI,MG
5.5.5:JV
5.5.6:GI,MA,CO,JV;MA,GI;GI;MG
5.5.7:MA,CO,JV;MA,JV
5.5.8:MA;MA,CO,JV
5.6.1:MA,CO;MA,GI;JV,MA,GI;TH,AZ,JV
5.6.2:CO,MA,GI,JV,MG;MA,CO;TG;CO,JV;GI,BQ;GI,MA,CO;GI
5.6.3:JV
5.6.4:JV
5.7.1:JV,BQ;MA,JV;MA,JV,CO;MA,JV
5.7.2:MA
5.8.1:JV,BQ;JV,CO
5.8.2:JV,CO
5.8.3:MA,CO;JV,BQ;JV,CO;NI,JV
5.8.4:JV
5.9.1:MA,CO
5.9.2:JV,CY;JV;CY,CZ;CY,DJ;DJ,JV
5.9.3:JV
5.9.4:MA,TH;MA,CO
5.9.5:JV,CO,MA;MA,DJ;DJ,CY
5.9.6
* End of jean-complete.dat
